segment	type	disc	overrideKanji	overrideDisp	note
plum	amb	ペン	笔	笔ᴾᴸ	ペン。plum=羽と同綴
mat	amb	詰	将	将ᴹ	チェス詰み。mat=席と別行
pat	amb	手詰	困	困	ステールメイト。pat=锅と別行
vat	amb	ワット	瓦	瓦ⱽ	ワット。vat=棉と別行
kanon	amb	典	典	典ᴷᴺ	正典/カノン。kanon=炮と別行
karp	amb	手首	腕	腕ᴷ	手根。karp=鲤と別行
deviz	amb	外貨	汇	汇ᴰ	外貨。deviz=铭と同綴
mark	amb	マルク	币	币ᴹ	マルク。mark=标と別行
lir	amb	リラ	币	币ᴸ	リラ通貨。lir=琴と別行
kron	amb	クローネ	币	币ᴷ	クローネ。kron=冠と別行
dur	amb	ドゥーロ	币	币ᴰ	ドゥーロ銀貨。dur=硬と別
ar	amb	アール	亩	亩	アール面積。ar=群と別行
luks	amb	ルクス	照	照ᴸ	ルクス照度。luks=奢と別行
stok	amb	ストークス	粘	粘ˢ	ストークス粘度。stok=储と別行
kuri	amb	キュリー	居	居ᴷ	キュリー。kuri=廷と別行
fon	amb	ホン	响	响ᶠ	ホン音量。fon=底と別
spin	amb	スピン	旋	旋ˢᴺ	物理スピン。spin=脊と別行
orkid	amb	睾丸	丸	丸ᴼ	睾丸。orkid=兰と別
spat	amb	仏炎	苞	苞ˢ	仏炎苞。spat=石と別行
sol	amb	ゾル	溶	溶	ゾル。sol=唯と別行
siren	amb	海牛	牛	牛ˢ	海牛類。siren=警笛と別行
ergot	amb	蹴爪	距	距ᴱ	蹴爪。ergot=麦角と別
panikl	amb	皮下	脂	脂ᴾ	皮下脂肪。panikl=圆锥と別
rod	amb	停泊	泊	泊	停泊地。rod=啃と別行
bit	amb	繋柱	桩	桩ᴮ	繋柱。bit=位と別行
jard	amb	帆桁	杆	杆ᴶ	帆桁。jard=码と別
prim	amb	一時課	祷	祷	一時課。prim=质数と同行
pic^	amb	音高	调	调ᴾ	音高。pic^=阴户と別行
lab	amb	実験室	验	验ᴸ	実験室。lab=皱胃と別
arke	amb	古細菌	菌	菌ᴬᴷ	古細菌。arke=方舟と別
abak	amb	柱頭	顶	顶ᴬᴮ	柱頭。abak=算盘と別
file	amb	罫線	线	线ᶠ	罫線。file=里脊と別
peon	amb	隷農	佃	佃	隷農。peon=卒と別
klik	amb	徒党	派	派ᴷᴸ	徒党。klik=爪と別
topik	amb	外用	敷	敷ᵀ	外用薬。topik=题と別
er	amb	紀元	纪	纪ᴱᴿ	紀元。er=粒と別行
po	amb	Poa	草	草ᴾᴼ2	Poa属。po=每と別行
line	amb	リンネ	草	草ᴸᴵᴺ	リンネ草。line=线と別行
tof	amb	痛風	瘤	瘤ᵀᶠ	痛風結節。tof=凝灰と別
male	amb	鼻疽	疫	疫ᴹ	馬鼻疽。male=锤ᴹᴸと別行
sinus	amb	正弦	弦	弦ˢ	正弦sine。sinus=洞と別行
